created_date,symbol,strategy,direction,strike,expiry,occ_code,entry_ref_price,entry_premium,thesis,status,book,entry_ts,price_source,exit_date,exit_ts,exit_ref_price,exit_premium,pnl_pct,notes
2026-06-29,BKNG,momentum,call,192.5,2026-07-03,BKNG260703C00192500,183.0,40.0,"[HELD - entered 2026-06-29, fill $40] 20d-high breakout +9% 5d on 1.3x volume",closed,real,2026-06-29T00:00:00+08:00,real,2026-06-30,2026-06-30T00:00:00+08:00,,20.0,-50.0,breakout faded; salvaged better than est
2026-06-29,AAPL,momentum,put,270.0,2026-07-03,AAPL260703P00270000,281.57,31.0,"[HELD - entered 2026-06-29, fill $31] 20d-low area, 1.4x volume",closed,real,2026-06-29T00:00:00+08:00,real,2026-06-30,2026-06-30T00:00:00+08:00,,9.0,-70.96774193548387,"reverted - bought put into oversold low, bounced"
2026-06-30,MSFT,swing,call,400.0,2026-07-17,MSFT260717C00400000,,470.0,"[HELD] entered $470 — REVIEW SAYS CLOSE: weak downtrend, IVR 88, 18-DTE theta bleed",closed,real,2026-06-30T00:00:00+08:00,real,2026-07-17,2026-07-17T09:17:02+08:00,,570.0,21.27659574468085,"Exited at $5.70/share ($570/contract) — 1 DTE, MSFT broke through strike on volume, harvested before expiry"
2026-06-30,VST,swing,call,190.0,2026-07-17,VST260717C00190000,,270.0,"[HELD] entered $270 — needs +16% in 18d, low probability",closed,real,2026-06-30T00:00:00+08:00,real,2026-07-20,2026-07-20T22:24:39+08:00,,0.0,-100.0,"Expired worthless 2026-07-17 (0 DTE that day), cleanup entry 3 days late"
2026-06-30,AXP,swing,put,300.0,2026-08-07,AXP260807P00300000,340.4,,"RSI 79 overbought, neutral trend — mean-reversion put",open,watch,2026-06-30T00:00:00+08:00,estimate,,,,,,
2026-06-30,NUE,momentum,put,217.5,2026-07-03,NUE260703P00217500,228.58,,20d-low breakdown on 1.4x volume,expired,watch,2026-06-30T00:00:00+08:00,estimate,2026-07-08,2026-07-08T21:48:18+08:00,,,,"expired 2026-07-03, never triggered on live tape (cleanup - was left open past expiry)"
2026-06-30,MAR,swing,call,420.0,2026-08-07,MAR260807C00420000,368.59,55.0,"[PAPER] HL dip-zone, IVR~22 LOW, RSI reset; swing dip-buy. entry est $55 (spot 368.59, RV 23%). exit +75%/-50% or by 21 DTE",closed,paper,2026-06-30T00:00:00+08:00,estimate,2026-07-13,2026-07-13T21:48:21+08:00,375.82,13.0,-76.36363636363637,"STOP-LOSS: breached -50% threshold (closed at -76%), executed late — monitoring gap, should have triggered earlier"
2026-06-30,CEG,swing,put,230.0,2026-08-07,CEG260807P00230000,250.27,356.0,"[PAPER] LOW IVR (~19) cheap puts on a sustained downtrend (-10% 3M, below MAs); vol has room to expand on a down move. entry est $356 (spot 250.27, RV 36%). exit +75%/-50% or by 21 DTE",closed,paper,2026-07-01T02:52:18+08:00,estimate,2026-07-13,2026-07-14T02:14:12+08:00,255.26,178.0,-50.0,"STOP-LOSS: hit -50% threshold exactly, closed same check-in (caught on time)"
2026-07-01,LLY,swing,call,1300.0,2026-08-07,LLY260807C01300000,1181.33,1603.0,"[PAPER] strong trend 12/14 ABOVE MA50, IVR 40 MED (modest vega drag), RSI 58 healthy. with-trend premium call. entry est $1603 (spot 1181, RV 35%). caveat: +11% 1M so mild chase risk. exit +75%/-50% or 21 DTE",closed,paper,2026-07-02T01:10:05+08:00,estimate,2026-07-15,2026-07-15T22:27:40+08:00,1142.24,384.0,-76.04491578290705,"STOP-LOSS: breached -50% (closed at -76%), LLY dropped -7.6% over 5 days"
2026-07-02,NVO,swing,call,50.0,2026-07-31,NVO260731C00050000,49.0,145.0,[HELD] real fill $1.45 (=$145). LOW IVR 24 (good call vehicle) BUT RSI 86 overbought (chase risk); expiry Jul31 is BEFORE ~Aug5 earnings — no earnings vega,open,real,2026-07-02T22:30:14+08:00,real,,,,,,
2026-07-10,HLT,swing,call,375.0,2026-08-21,HLT260821C00375000,339.8,60.0,"[PAPER] IVR 6 (near-zero, cheap vol), HL dip-zone, RSI 40 (room, not extended), moderate trend. Cleanest premium-call setup on the board today. entry est $60 (spot 339.80, RV 18%, 42 DTE). exit +75%/-50% or by 21 DTE",closed,paper,2026-07-10T23:18:00+08:00,estimate,2026-07-13,2026-07-13T21:48:21+08:00,335.63,26.0,-56.666666666666664,"STOP-LOSS: breached -50% threshold (closed at -57%), executed late — same monitoring gap"
2026-07-10,NFLX,swing,put,65.0,2026-08-21,NFLX260821P00065000,73.09,107.0,"[PAPER] genuine 3M -26.6% structural downtrend (not just extended/oversold), RSI 41 (neutral, low bounce-risk), IVR 57 HIGH but matters less for puts (delta+vega both work on a drop). entry est $107 (spot 73.09, RV 42%, 42 DTE). exit +75%/-50% or by 21 DTE",closed,paper,2026-07-10T23:18:00+08:00,estimate,2026-07-20,2026-07-20T22:26:38+08:00,67.65,241.0,125.23364485981307,HARVEST at +126% — Netflix earnings-miss catalyst played out exactly as thesis expected. Closing on the +75% target rule rather than repeat the CEG/LLY/MAR pattern of letting a big winner reverse before being taken.
2026-07-17,AVGO,swing,put,330.0,2026-08-21,AVGO260821P00330000,374.45,633.0,"[PAPER] genuine 3M structural weakness (-5.9%, not just short-term), RSI 48 neutral (no oversold-bounce flag, unlike SMCI/NVTS/COHR which are deeply oversold), IVR 44 MED. Top-scoring bearish name on the AI/Semi/IT focus list, unpenalized (no RSI-OS/1M-crash flags). entry est $633 (spot 374.45, RV 51%, 35 DTE). exit +75%/-50% or by 21 DTE",closed,paper,2026-07-17T20:03:02+08:00,estimate,2026-07-21,2026-07-21T21:56:46+08:00,380.86,262.0,-58.60979462875198,"STOP-LOSS: hit -59% (past -50% threshold) — the sector-wide semiconductor recovery (SMH +0.41% Mon, reversing 3 down days) kept working against this position despite the AI-capex-selloff thesis being fundamentally real"
2026-07-17,HIMS,swing,call,37.5,2026-08-21,HIMS260821C00037500,33.68,183.0,"[PAPER] IVR 32 MED, strong trend, RSI 53 healthy (RSI-reset flag, not extended), no disqualifying flags (not overbought, not chasing, not oversold). Not previously held/burned. entry est $183 (spot 33.68, RV 76%, 35 DTE). exit +75%/-50% or by 21 DTE",closed,paper,2026-07-17T21:24:58+08:00,estimate,2026-07-22,2026-07-22T22:33:13+08:00,32.46,79.0,-56.830601092896174,"STOP-LOSS: hit -57% (past -50% threshold). RSI dropped to 31, 5d -12.7% — thesis reversed hard, no longer the clean healthy-RSI setup it was on entry"
2026-07-22,DELL,swing,call,505.0,2026-08-21,DELL260821C00505000,448.72,2295.0,"[PAPER] 3rd consecutive day of improving conviction: HL-zone dip-buy -> now confirmed STRONG trend (score 10, up from 6). RSI 54 healthy despite huge run, not overbought. Part of broad AI-infra rotation continuation (SMCI+18% DELL+8% STX+10% MU+7% 5d). IVR jumped to 51 HIGH (pricier) but trend conviction offsets. entry est $2295 (spot 448.72, RV 83%, 30 DTE). exit +75%/-50% or by 21 DTE",open,paper,2026-07-22T22:56:45+08:00,estimate,,,,,,
2026-07-22,MRVL,momentum,call,232.5,2026-07-24,MRVL260724C00232500,,185.0,"[HELD - entered night of 2026-07-21, fill $1.85 ($185)] AI-infra rotation continuation off the confirmed Nvidia/NBIS-stake catalyst + sector-wide rack-scale hardware rotation. 1sig OTM weekly, 2 DTE at logging. exit +50%/-50% or by 2 DTE/EOD per momentum rules",open,real,2026-07-22T23:09:51+08:00,real,,,,,,
